ID,Year,Date,Hour,Room,Track,Title,Tracks,Rooms
6307,2023,10/11/2023,15:40:00,Auditorium (A2),Data4SmartHealth,Gimme! Gimme! Gimme! (Some good algorithms),,
6336,2023,10/11/2023,17:20:00,Auditorium (A2),Data4SmartHealth,Management of large genomic data with free software,,
6436,2023,11/11/2023,12:40:00,Seminar 2,Open Data & Open Hardware track,From the design to reality is here the Community Open Hardware PowerPC Notebook,,
6258,2023,11/11/2023,12:20:00,Seminar 2,Open Data & Open Hardware track,"The Future of Connectivity, Open Internet and Human Rights",,
6285,2023,11/11/2023,12:00:00,Seminar 2,Open Data & Open Hardware track,Intelligent Decision Support System for traceability system of MOAH &amp,,
6254,2023,11/11/2023,11:40:00,Seminar 2,Open Data & Open Hardware track,Why open digital infrastructure matters,,
6343,2023,11/11/2023,11:20:00,Seminar 2,Open Data & Open Hardware track,SMODEX – a Python package for understanding the evolution of soil moisture anomalies,,
6317,2023,11/11/2023,11:00:00,Seminar 2,Open Data & Open Hardware track,Achieving FAIRness with EDP-portal,,
6477,2023,10/11/2023,16:00:00,Seminar 3,Community Track,Process Analysis Tools 4 Public Utility,,
6472,2023,11/11/2023,10:20:00,Seminar 2,Open Data & Open Hardware track,Free Software and Open Science,,
6431,2023,11/11/2023,10:00:00,Seminar 2,Open Data & Open Hardware track,Embracing CI/CD workflows for building ETL pipelines,,
6457,2023,11/11/2023,09:40:00,Seminar 2,Open Data & Open Hardware track,Real-time aeroplane tracking and the Open Data Hub,,
6372,2023,11/11/2023,09:20:00,Seminar 2,Open Data & Open Hardware track,How can Blockchain technologies incorporate AI solutions for a safer and efficient Open Data ecosystem.,,
6293,2023,10/11/2023,17:40:00,Seminar 4,Public Money Public Code & Open Data track,Monitoring the fleet of Sasa with free software,,
6419,2023,10/11/2023,17:40:00,Seminar 3,Community Track,Shaping the future with Data,,
6414,2023,10/11/2023,17:40:00,Seminar 1,Developers track,Improving developer experience in Open Source Projects,,
6319,2023,10/11/2023,17:20:00,Seminar 4,Public Money Public Code & Open Data track,Smart Werke Meran,,
6401,2023,10/11/2023,17:20:00,#N/A,,Providing and Receiving Feedback in Open Source,,
6305,2023,10/11/2023,17:20:00,Seminar 1,Developers track,The Entando Marketplace,,
6378,2023,10/11/2023,17:00:00,Seminar 4,Public Money Public Code & Open Data track,How IoT and AI are revolutionizing Mass Customization,,
6437,2023,✗,17:00:00,#N/A,,Empowering Collaboration,,
6256,2023,10/11/2023,17:00:00,Seminar 1,Developers track,CrudIt: an opensource framework that makes developers autonomous,,
6342,2023,10/11/2023,16:40:00,Seminar 4,Public Money Public Code & Open Data track,European regulators cast their eyes on maturing OSS communities,,
6347,2023,10/11/2023,16:40:00,Seminar 3,Community Track,BIM2FEM: From Building Information Modeling to Finite Element Analysis,,
6358,2023,10/11/2023,16:40:00,Seminar 1,Developers track,Pitfalls and Mistakes When Dealing With Non-Functional Requirements,,
6348,2023,10/11/2023,16:20:00,Seminar 4,Public Money Public Code & Open Data track,KNOWAGE and AICS for 2030 agenda SDG goals monitoring,,
6393,2023,10/11/2023,16:20:00,Seminar 3,Community Track,TOGETHER IS BETTER,,
6375,2023,10/11/2023,16:20:00,Seminar 2,Legal track,The current state of SBOMs and SPDX,,
6325,2023,10/11/2023,16:20:00,Seminar 1,Developers track,Kubernetes for IoT,,
6349,2023,10/11/2023,16:00:00,Seminar 4,Public Money Public Code & Open Data track,Empowering Insights: Unveiling the latest innovations in KNOWAGE for BI and Data Visualization,,
6286,2023,10/11/2023,16:00:00,Seminar 2,Legal track,Continuos compliance @ Linaro,,
6323,2023,10/11/2023,16:00:00,Seminar 1,Developers track,Automating git for development on large distributed teams,,
6359,2023,10/11/2023,15:40:00,#N/A,,GovStack project a univeral E-Government,,
6353,2023,10/11/2023,15:40:00,Seminar 3,Community Track,Can we sustain Software Freedom in the mobile world?,,
6255,2023,10/11/2023,15:40:00,Seminar 2,Legal track,KYCS ‒ Know Your Code Sources (and let it be known),,
6367,2023,10/11/2023,15:40:00,Seminar 1,Developers track,Don’t let microservices kill you!,,
6311,2023,10/11/2023,15:20:00,Seminar 4,Public Money Public Code & Open Data track,Let’s monitor implementation of Free Software Policies!,,
6360,2023,10/11/2023,15:20:00,Seminar 3,Community Track,Videobooks,,
6384,2023,10/11/2023,15:20:00,Seminar 2,Legal track,How do you really do GPL enforcement?,,
6304,2023,11/11/2023,10:40:00,Seminar 2,Open Data & Open Hardware track,MLOps with Kubernetes: unleash the power of the ecosystem!,,
6351,2023,10/11/2023,15:00:00,Seminar 4,Public Money Public Code & Open Data track,The Brand-New Version of IGis Maps,,
6444,2023,10/11/2023,15:00:00,Seminar 2,Legal track,Windows and Office “tax” refund,,
6427,2023,10/11/2023,15:00:00,Seminar 1,Developers track,F-Droid – The place for your FOSS Apps,,
6404,2023,10/11/2023,14:40:00,Seminar 4,Public Money Public Code & Open Data track,Interoperable Europe Act: A real game changer?,,
6438,2023,10/11/2023,14:40:00,Seminar 3,OW2 Track,AI Law &amp,,
6277,2023,10/11/2023,17:00:00,Seminar 3,Community Track,Open Tracing Tools: Overview and Comparison,,
6264,2023,10/11/2023,14:20:00,Seminar 4,Public Money Public Code & Open Data track,Why Do We Need A Next Generation Internet?,,
6330,2023,10/11/2023,16:40:00,Auditorium (A2),Data4SmartHealth,Machine learning driven simulation of protein folding atomistic trajectories,,
6405,2023,10/11/2023,14:20:00,#N/A,,Reproducible Builds – the first 10 years,,
6283,2023,10/11/2023,14:20:00,Seminar 1,Developers track,A comparison of Open Source FaaS technologies,,
6373,2023,10/11/2023,14:00:00,Seminar 4,Public Money Public Code & Open Data track,Free Software and AI in Europe,,
6425,2023,10/11/2023,14:00:00,Seminar 2,Legal track,"The History of, and Path forward for, Copyleft and the GPL",,
6253,2023,10/11/2023,14:00:00,Seminar 1,Developers track,squash the flakes!,,
6238,2023,✗,✗,#N/A,,United We Stand,,
6374,2023,10/11/2023,13:40:00,Seminar 3,Community Track,MindsHub no-profit,,
6435,2023,10/11/2023,13:40:00,Seminar 1,Main Track,Accessibility improvements for Uyuni,,
6366,2023,10/11/2023,13:20:00,Seminar 4,Cybersecurity Track,Recommending security fixes for weak open-source code with AI,,
6247,2023,10/11/2023,13:20:00,Seminar 3,Community Track,Sharing the power of appreciation: Celebrating ‘I Love Free Software Day’,,
6314,2023,10/11/2023,13:20:00,Seminar 2,Artificial Intelligence Track,Image Generation with Diffusion Models,,
6416,2023,10/11/2023,13:20:00,Seminar 1,Main Track,Ithaca: the Clean and Hexagonal Architectural Island,,
6333,2023,10/11/2023,13:00:00,Seminar 4,Cybersecurity Track,MBBS: A Multimodal Behavioral Biometric Scheme for Smartphone User Authentication,,
6265,2023,10/11/2023,13:00:00,Seminar 3,Community Track,Sustainability of Open Source Software and Potentials in Developing Countries,,
6463,2023,10/11/2023,13:00:00,Seminar 2,Artificial Intelligence Track,"Web Search, fresh and local",,
6422,2023,10/11/2023,13:00:00,Seminar 1,Main Track,Write High Performance Clients for RabbitMQ,,
6338,2023,10/11/2023,12:40:00,Seminar 4,Cybersecurity Track,Technical leverage analysis in the Python ecosystem: lessons learned,,
6263,2023,10/11/2023,12:40:00,Seminar 3,Community Track,Building an Awesome Product by Creating a Community Around It,,
6397,2023,10/11/2023,12:40:00,Seminar 2,Artificial Intelligence Track,Democratizing Language and Vision Technology,,
6430,2023,10/11/2023,12:40:00,Seminar 1,Main Track,The incredible machine: when automation backfires,,
6335,2023,10/11/2023,12:20:00,Seminar 4,Cybersecurity Track,Opensource to help increase organizations Cybersecurity posture,,
6334,2023,10/11/2023,12:20:00,Seminar 3,Community Track,Combatting E-Waste’s Environmental Harm With Free Software,,
6270,2023,10/11/2023,12:20:00,Seminar 2,Artificial Intelligence Track,Optimizing Software Performance with Inductive Logic Programming: A Novel Approach,,
6456,2023,10/11/2023,12:20:00,Seminar 1,Main Track,Psydac: a Python IGA library for large-scale simulations,,
6361,2023,10/11/2023,12:00:00,Seminar 4,Cybersecurity Track,Software freedom primer on Self Sovereign Identity,,
6310,2023,10/11/2023,12:00:00,Seminar 3,Community Track,Beyond Google &amp,,
6240,2023,10/11/2023,12:00:00,Seminar 2,Artificial Intelligence Track,From Novices to Innovators: Exploring the Possibilities with Free and Open Source AI Tools,,
6398,2023,10/11/2023,12:00:00,Seminar 1,Main Track,Flaky tests – how to deal with them,,
6268,2023,10/11/2023,11:40:00,Seminar 4,Cybersecurity Track,Predict security attacks in FOSS,,
6381,2023,10/11/2023,11:40:00,Seminar 3,Community Track,Transforming South Tyrol’s Economy: Empowering Tourism and Agriculture through Decentralized Applications (dApps),,
6465,2023,10/11/2023,11:40:00,Seminar 2,Artificial Intelligence Track,Nextcloud – do you know?,,
6452,2023,10/11/2023,11:40:00,Seminar 1,Main Track,"Pyccel: write Python code, get Fortran speed",,
6354,2023,✗,✗,#N/A,,Making the Internet Trustworthy,,
6395,2023,10/11/2023,11:20:00,Seminar 3,Community Track,Community tidbits,,
6234,2023,10/11/2023,11:20:00,Seminar 2,Artificial Intelligence Track,"Self-hosted, Open Source Large Language Models (LLMs)",,
6459,2023,10/11/2023,11:20:00,Seminar 1,Main Track,The First Year of Eclipse Software Defined Vehicle: a successful “code first” approach,,
6295,2023,10/11/2023,10:00:00,Seminar 1,Main Track,"What the AI revolution means for Open Source, Open Tech and Open Societies",,
6516,2023,10/11/2023,09:00:00,Seminar 1,Main Track,Opening SFSCON 2023,,
6447,2023,✗,✗,#N/A,,Home4Me &#8211,,
6441,2023,✗,✗,#N/A,,test,,
6421,2023,✗,✗,#N/A,,Write high performance clients with GO/.NET,,
6413,2023,✗,✗,#N/A,,Improving developer experience in Open Source Projects,,
6412,2023,✗,✗,#N/A,,Improving developer experience in Open Source Projects,,
6346,2023,✗,✗,#N/A,,Predictive analytics driven decision making in ICT solutions in mobility,,
6322,2023,✗,✗,#N/A,,Automating git for development and testing on large teams,,
6303,2023,✗,✗,#N/A,,MLOps with Kubernetes: unleash the power of the ecosystem!,,
6239,2023,✗,✗,#N/A,,Free and Open Source AI Tools,,
6233,2023,✗,✗,#N/A,,Prova,,
